Tom Nagy,animation supervisor: Mr. X (8 episodes 2022),none,none
Ken Nielsen,compositing supervisor: Ghost VFX Toronto (8 episodes 2022),none,none
Razvan Nineaca,data wrangler (8 episodes 2022),none,none
Anthony O'Connell,Render Wrangler (8 episodes 2022),none,none
Catalin Otelea,data wrangler (8 episodes 2022),none,none
Matei Ovejan,data wrangler (8 episodes 2022),none,none
Alessandro Pantanella,visual effects supervisor: Ghost VFX Toronto (8 episodes 2022),none,none
Travis Pond,compositor: Take 5 VFX (8 episodes 2022),none,none
Yawar Raja,layout lead: Mr. X (8 episodes 2022),none,none
Aditya Sawant,visual effects coordinator: Ghost VFX Toronto (8 episodes 2022),none,none
Matt Schofield,vfx head of operations (8 episodes 2022),none,none
Ksenia Shutova,compositor: Take 5 VFX (8 episodes 2022),none,none
Mark Simone,visual effects producer: Stereo D (8 episodes 2022),none,none
Denis St-Pierre,compositor: Take 5 VFX (8 episodes 2022),none,none
Ryan Terk,Senior Visual Effects Coordinator / visual effects coordinator: MELS (8 episodes 2022),none,none
Jason Teske,rigging lead: Mr. X (8 episodes 2022),none,none
Tom Turnbull,visual effects supervisor (8 episodes 2022),none,none
Fabi�n Varela,visual effects producer: Ghost VFX Toronto (8 episodes 2022),none,none
Kelly Weisz,visual effects studio manager: Take 5 VFX (8 episodes 2022),none,none
Angela Zhang,visual effects production manager: Mr. X (8 episodes 2022),none,none
Kayden Anderson,visual effects producer: Rocket Science VFX (7 episodes 2022),none,none
Eddie Englander,visual effects supervisor: Monsters Aliens Robots Zombies (2 episodes 2022),none,none
Rashid Khallouk,compositing lead: Mr. X (6 episodes 2022),none,none
Timothy Mah,visual effects editor: Rocket Science VFX (7 episodes 2022),none,none
Michael Osuszek,visual effects coordinator: Rocket Science VFX (7 episodes 2022),none,none
Rodrigo Paiva,compositing lead: Monsters Aliens Robots Zombies (1 episode 2022),none,none
Suresh Pandi,lead compositor: Rocket Science VFX / compositor: Rocket Science VFX (7 episodes 2022),none,none
Francois Robert,matchmove/layout artist: MELS (3 episodes 2022),none,none
Adam Smith,lead compositor: Rocket Science VFX (7 episodes 2022),none,none
Sarvesh Amre,visual effects production manager: NetFX Mumbai (6 episodes 2022),none,none
Beno�t Bri�re,visual effects supervisor: MELS (6 episodes 2022),none,none
Paul Chambers,assets supervisor: Monsters Aliens Robots Zombies (1 episode 2022),none,none
Dipak Gaur,digital compositor: Ghost VFX Toronto (6 episodes 2022),none,none
Taraknath Ghosh,paint artist: Stereo D (5 episodes 2022),none,none
Baz Lanaris,cg supervisor: MELS (6 episodes 2022),none,none
Prateek Mishra,paint artist: Stereo D (5 episodes 2022),none,none
Erin Nicholson,cg supervisor: Ghost VFX Toronto (6 episodes 2022),none,none
Bikram Singh,paint artist: Stereo D (5 episodes 2022),none,none
Khushroo Surveyor,visual effects lighter: Rocket Science VFX (5 episodes 2022),none,none
Ramesh Kumar Yanagandhula,paint artist: Stereo D (5 episodes 2022),none,none
Lynx Zuo,digital compositor: Ghost VFX Toronto (6 episodes 2022),none,none
Patti Gannon,compositor: Take 5 VFX (4 episodes 2022),none,none
Tanya Haddad,visual effects producer: Folks VFX (5 episodes 2022),none,none
JoAnna Johnson,compositor: Rocket Science VFX (4 episodes 2022),none,none
Luca Lim Diniz,visual effects artist: MELS (4 episodes 2022),none,none
Brodie McNeill,visual effects supervisor: Folks VFX (5 episodes 2022),none,none
Tabata Ortiz,visual effects artist: MELS (4 episodes 2022),none,none
Nishant Patel,visual effects lighter: Rocket Science VFX (1 episode 2022),none,none
Umapathy Rajarathinam,compositor: Rocket Science VFX (4 episodes 2022),none,none
Genesis Rivas,compositor: Take 5 VFX (4 episodes 2022),none,none
Manish Rohith,compositing artist: Monsters Aliens Robots Zombies (1 episode 2022),none,none
Luca Gabriele Rossetti,digital matte painter/environment supervisor: Monsters Aliens Robots Zombies (1 episode 2022),none,none
Salil Thapa,visual effects line producer: NetFX Mumbai (5 episodes 2022),none,none
Fran�ois Trudel,visual effects artist: MELS / visual effects supervisor: MELS (4 episodes 2022),none,none
Wesley While,compositor: Take 5 VFX (5 episodes 2022),none,none
Kaylie Whitcher,visual effects producer: Folks VFX (5 episodes 2022),none,none
Sarah Wormsbecher,visual effects executive producer: Folks VFX (5 episodes 2022),none,none
Summer Zong,cg supervisor: Folks VFX (5 episodes 2022),none,none
Oksana Andrulis,visual effects production manager: Folks VFX / animation coordinator: Folks VFX (3 episodes 2022),none,none
David Dionne,visual effects artist: MELS (2 episodes 2022),none,none
Josh George,fx lead: Folks VFX (3 episodes 2022),none,none
James Takashi Higuchi,lighting supervisor: Monsters Aliens Robots Zombies (1 episode 2022),none,none
Christopher Jude,compositor: Rocket Science VFX (3 episodes 2022),none,none
Jos� Lasa,compositor: Rocket Science VFX / visual effects lighter: Rocket Science VFX (3 episodes 2022),none,none
Marco Lee,compositing supervisor: Folks VFX (3 episodes 2022),none,none
Dinaaz Mathur,visual effects production coordinator: NetFX Mumbai (4 episodes 2022),none,none
Ben McDougal,surfacing lead: Monsters Aliens Robots Zombies (4 episodes 2022),none,none
Sumit Mukherjee,paint supervisor: NetFX Mumbai (4 episodes 2022),none,none
Isha Nigam,head of production: NetFX Mumbai (4 episodes 2022),none,none
Ryan Jae Wook Park,layout supervisor: Folks VFX (3 episodes 2022),none,none
Gustavo Sanchez-Perez,fx supervisor: Monsters Aliens Robots Zombies (1 episode 2022),none,none
Kyle Sim,head of 2d: Folks VFX (4 episodes 2022),none,none
Pankaj Umbarkar,junior paint lead: NetFX Mumbai (4 episodes 2022),none,none
Sahil Agrahari,junior paint artist: NetFX Mumbai (2 episodes 2022),none,none
Chris Archinet,visual effects artist: MELS (2 episodes 2022),none,none
Ajay Kumar Attinti,roto lead: NetFX Mumbai (3 episodes 2022),none,none
Samuel Boisvert,visual effects artist: MELS (2 episodes 2022),none,none
Reine Bourgault,visual effects artist: MELS (2 episodes 2022),none,none
Aakash Chaudhari,roto artist: NetFX Mumbai (2 episodes 2022),none,none
Dave David,animation artist: Monsters Aliens Robots Zombies (1 episode 2022),none,none
Amod Diwakar,assistant visual effects line producer: Stereo D / visual effects assistant line producer: Stereo D (3 episodes 2022),none,none
Nadine Fr�ve,lead visual effects editor: Folks VFX / visual effects editor: Folks VFX (2 episodes 2022),none,none
Mark Goldberg,compositor (2 episodes 2022),none,none
Leonardo Andres Grabau Villalba,visual effects artist: MELS (2 episodes 2022),none,none
Jonathan Gr�goire,visual effects artist: MELS (3 episodes 2022),none,none
Jeanne Hebert,visual effects artist: MELS (2 episodes 2022),none,none
Pravin Hodage,2d supervisor: NetFX Mumbai (2 episodes 2022),none,none
Cory Humes,animation supervisor: Folks VFX (3 episodes 2022),none,none
Siddarth Jambhulkar,compositor: Rocket Science VFX (2 episodes 2022),none,none
Mukesh Joshi,senior i/o coordinator: NetFX Mumbai (2 episodes 2022),none,none
Simon Lecavalier,cg supervisor: MELS (2 episodes 2022),none,none
Christophe Longtin,visual effects artist: MELS (2 episodes 2022),none,none
Oleg Memukhin,fx supervisor: Folks VFX (3 episodes 2022),none,none
Waseem Mohammed,head of central production: Monsters Aliens Robots Zombies (2 episodes 2022),none,none
Dany Richard,visual effects artist: MELS (2 episodes 2022),none,none
Nisarg Suthar,lighting supervisor: Folks VFX (3 episodes 2022),none,none
Nitesh Sutrave,compositing supervisor: NetFX Mumbai (3 episodes 2022),none,none
Sarvesh Talekar,roto artist: NetFX Mumbai (2 episodes 2022),none,none
Himani Tyagi,junior paint artist: NetFX Mumbai (2 episodes 2022),none,none
Waseem Ahmad Khan,paint artist: Stereo D (1 episode 2022),none,none
Rodrigo Albano,environment artist: Monsters Aliens Robots Zombies (1 episode 2022),none,none
Don Carlo Alvir,animation artist: Monsters Aliens Robots Zombies (1 episode 2022),none,none
Leanndro Amorim,compositing artist: Monsters Aliens Robots Zombies (1 episode 2022),none,none
Seshadri Anand,tracking/layout lead: Monsters Aliens Robots Zombies (1 episode 2022),none,none
Blake Anderson,visual effects supervisor: VFX Legion (1 episode 2022),none,none
Schuyler Anderson,tracking/layout lead: Monsters Aliens Robots Zombies (1 episode 2022),none,none
Edwin Arismendez,visual effects artist: MELS (2 episodes 2022),none,none
Jessica Bayliss,head of production: Monsters Aliens Robots Zombies (2 episodes 2022),none,none
Sudhakar Bhavanasi,deputy manager: Stereo D (1 episode 2022),none,none
Alan Bisht,compositing artist: NetFX Mumbai (1 episode 2022),none,none
William Blanchette,visual effects artist: MELS (1 episode 2022),none,none
Jordan Boulais,visual effects artist: MELS (2 episodes 2022),none,none
J. Alan Bradshaw,head of cg: Monsters Aliens Robots Zombies (2 episodes 2022),none,none
Peter Braeley,digital matte painter: Folks VFX (1 episode 2022),none,none
Charlotte Breton,visual effects editor: Folks VFX (1 episode 2022),none,none
Alex Bronfman,sales lead: Monsters Aliens Robots Zombies (2 episodes 2022),none,none
Jonathan Bronfman,head of studio: Monsters Aliens Robots Zombies (2 episodes 2022),none,none
Dennis Chan,animation artist: Monsters Aliens Robots Zombies (1 episode 2022),none,none
Hardik Chauhan,senior compositing artist: NetFX Mumbai (1 episode 2022),none,none
Molly Chen,assets artist: Monsters Aliens Robots Zombies (1 episode 2022),none,none
Sujesh V. Chitty,concept artist: Folks VFX (1 episode 2022),none,none
Nolan Conrad,digital compositor: VFX Legion (1 episode 2022),none,none
Andr�s Couturier,graphic artist: VFX Legion (1 episode 2022),none,none
Madhu Dasyapu,assistant roto supervisor: Stereo D (1 episode 2022),none,none
Rodrigo de Angelis,fx artist: Monsters Aliens Robots Zombies (1 episode 2022),none,none
Sofia Diaz,lighting artist: Monsters Aliens Robots Zombies (1 episode 2022),none,none
Maya Dumont-Deslandes,visual effects studio manager: MELS (1 episode 2022),none,none
Abdullah Ecirli,compositing artist: Monsters Aliens Robots Zombies (1 episode 2022),none,none
Manoj Kumar Elangovan,tracking & layout artist: Monsters Aliens Robots Zombies (1 episode 2022),none,none
Michael Enzbrunner,animation lead: Monsters Aliens Robots Zombies (1 episode 2022),none,none
Timothy Fleur,creature artist: Monsters Aliens Robots Zombies (1 episode 2022),none,none
Adam Fok,rigging lead: Monsters Aliens Robots Zombies (1 episode 2022),none,none
Gil Franco,assets artist: Monsters Aliens Robots Zombies (1 episode 2022),none,none
Emily Funk,assets artist: Monsters Aliens Robots Zombies (1 episode 2022),none,none
Antonio Gallardo,visual effects producer: VFX Legion (1 episode 2022),none,none
Gregory Galliani,modeling lead: Monsters Aliens Robots Zombies (1 episode 2022),none,none
Igor Garanovschii,matte painter: Rocket Science VFX (1 episode 2022),none,none
Kunal Ghai,paint artist: Stereo D (1 episode 2022),none,none
Rakan Ghresi,fx artist: Monsters Aliens Robots Zombies (1 episode 2022),none,none
Jimmy Gill,animation artist: Monsters Aliens Robots Zombies (1 episode 2022),none,none
Yash Gowda,head of 2d: Monsters Aliens Robots Zombies (2 episodes 2022),none,none
Jameer Haider,paint artist: NetFX Mumbai (1 episode 2022),none,none
Lewis Hawkes,rigging lead: Monsters Aliens Robots Zombies (1 episode 2022),none,none
Jim Hillin,visual effects lighter Ghost VFX Toronto (1 episode 2022),none,none
Curtis Hsiung,animator: Rocket Science VFX (2 episodes 2022),none,none
Chen Kuang Hsu,tracking & layout artist: Monsters Aliens Robots Zombies (1 episode 2022),none,none
Salvatore Iamonte,rigging artist: Monsters Aliens Robots Zombies (1 episode 2022),none,none
Pragati Jana,paint artist: Stereo D (1 episode 2022),none,none
Juyong Jeon,visual effects artist (2 episodes 2022),none,none
Kenny Jia,digital matte painter lead: Monsters Aliens Robots Zombies (1 episode 2022),none,none
Laszlo Kalbache,asset artist: Rocket Science VFX (1 episode 2022),none,none
Ashraf Karim,senior compositing artist: NetFX Mumbai (1 episode 2022),none,none
Sharad Kate,paint artist: Stereo D (1 episode 2022),none,none
Min Kim,compositing supervisor: Folks VFX (2 episodes 2022),none,none
Jamie Knoop,visual effects production assistant: Stereo D (1 episode 2022),none,none
Ashwini Lad,visual effects administrator: Stereo D (1 episode 2022),none,none
Nadege Lagueux-Beloin,visual effects artist: MELS (1 episode 2022),none,none
Tukaram Landbale,roto artist: NetFX Mumbai (1 episode 2022),none,none
Dany Lebrasseur,visual effects artist: MELS (1 episode 2022),none,none
Kate T.C. Lin,digital compositor: VFX Legion (1 episode 2022),none,none
Matthias Lowry,digital compositor: VFX Legion (1 episode 2022),none,none
Jimmy Lue,visual effects coordinator: Folks VFX (1 episode 2022),none,none
Jim Maxwell,matte painter: Take 5 VFX (2 episodes 2022),none,none
Jay Mehta,paint artist: NetFX Mumbai (1 episode 2022),none,none
Kristine Middlemiss,head of technology: Monsters Aliens Robots Zombies (2 episodes 2022),none,none
Ali Mio,visual effects producer: Rocket Science VFX (2 episodes 2022),none,none
Guto Miranda,compositing artist: Monsters Aliens Robots Zombies (1 episode 2022),none,none
Vashishta Mohit,compositing artist: NetFX Mumbai (1 episode 2022),none,none
Lon Molnar,head of studio: Monsters Aliens Robots Zombies (2 episodes 2022),none,none
Jose Ignacio Narv�ez Monroy,compositing lead: Mr. X (2 episodes 2022),none,none
Atyeb Muneer,compositing artist: Monsters Aliens Robots Zombies (1 episode 2022),none,none
Ganesh Ramdas Nalle,senior roto artist: NetFX Mumbai (1 episode 2022),none,none
Michael Naphan,layout artist: Rocket Science VFX (1 episode 2022),none,none
Marla Oriol,lighting artist: Monsters Aliens Robots Zombies (1 episode 2022),none,none
Daksh Pandya,visual effects artist (2 episodes 2022),none,none
Niki Patterson,data technician: Stereo D (1 episode 2022),none,none
Aravind Pauldurai,compositing artist: Monsters Aliens Robots Zombies (1 episode 2022),none,none
Victor Perez,animation artist: Monsters Aliens Robots Zombies (1 episode 2022),none,none
Navin Pinto,rigging artist: Monsters Aliens Robots Zombies (1 episode 2022),none,none
Norman Ran,fx lead: Rocket Science VFX (1 episode 2022),none,none
Parastu Rezaie,lighting lead: Monsters Aliens Robots Zombies (1 episode 2022),none,none
